id,Premium_Wines,Value_Wines,Food_Pairing_Meat,Food_Pairing_Seafood,Food_Pairing_Spicy,Food_Pairing_Dessert,Flavor_Profile_Spice,Flavor_Profile_Oak
5351922,0,1,0,1,1,0,0,0.0
2541920,0,0,1,0,0,0,0,1.0
2123857,0,0,0,1,1,0,0,0.0
4000591,1,0,1,0,0,0,1,1.0
7856,1,0,1,1,0,0,1,1.0
1131459,1,0,0,1,1,0,0,0.0
12338,1,0,0,1,1,0,0,0.0
10416,1,0,0,1,0,0,0,1.0
3305516,1,0,1,1,0,0,1,1.0
1200985,1,0,0,1,1,0,0,0.0
1124628,1,0,0,1,1,0,0,0.0
1410333,1,0,1,0,0,0,0,1.0
2224956,1,0,1,0,0,0,1,0.0
1758737,1,0,1,0,0,0,0,1.0
1109278,1,0,1,0,0,0,1,0.0
1156079,1,1,1,0,0,0,1,0.0
2537920,1,0,0,1,1,0,0,0.0
5263933,1,0,0,1,0,0,0,1.0
1248224,1,0,1,1,0,0,1,1.0
1231421,1,0,1,0,0,0,1,0.0
1370993,1,0,0,1,0,0,1,1.0
3217118,1,0,1,0,0,0,1,1.0
1534918,1,0,1,1,0,0,1,1.0
2746889,1,1,0,1,0,0,0,0.0
1154338,0,0,1,0,0,0,1,1.0
1230960,0,0,0,1,1,0,0,0.0
2291445,0,1,0,1,0,0,1,0.0
1134644,0,0,0,1,1,0,0,0.0
84385,0,0,1,0,0,0,0,1.0
2462326,0,1,0,1,0,0,0,0.0
6841877,0,0,0,0,0,1,0,0.0
1122316,0,1,0,1,0,0,0,0.0
15982,1,0,1,1,0,0,1,1.0
4560052,1,0,1,1,0,0,1,1.0
1165683,1,0,0,1,0,0,0,0.0
6625909,1,0,1,1,0,0,0,1.0
5996270,1,0,1,0,0,0,0,1.0
1836101,1,0,1,0,0,0,0,1.0
4004574,1,1,1,0,0,0,0,0.0
5074194,1,0,0,1,0,0,0,1.0
2558458,1,0,0,1,0,0,0,0.0
1787648,1,0,0,1,0,0,0,0.0
6587557,0,0,0,1,1,0,0,0.0
5330317,0,0,0,1,1,0,0,0.0
1200025,0,0,1,0,0,0,1,1.0
9530846,0,0,1,0,0,0,1,0.0
1216821,0,0,0,1,1,0,0,0.0
1296732,1,1,0,1,1,0,0,0.0
1677688,1,0,0,1,0,0,0,0.0
97596,1,0,1,1,0,0,0,1.0
1403493,1,0,1,0,0,0,1,1.0
6716109,1,0,1,0,0,0,1,1.0
1187392,0,0,1,0,0,0,0,0.0
4359845,0,0,0,1,1,0,0,0.0
375,0,0,1,1,0,0,1,1.0
4746291,0,0,1,0,0,0,0,1.0
2053701,0,0,1,0,0,0,0,1.0
5744103,0,1,0,1,1,0,1,0.0
2193960,0,0,1,0,0,0,0,0.0
2199965,0,1,1,0,0,0,0,1.0
2199364,0,1,1,0,0,0,0,1.0
1374604,0,1,1,0,0,0,0,1.0
2233489,0,1,1,0,0,0,0,1.0
7833,0,0,0,1,0,0,0,1.0
1164116,0,1,1,0,0,0,0,1.0
1774637,0,0,1,0,0,0,1,1.0
1242662,0,0,0,1,0,0,1,1.0
1654004,0,0,1,0,0,0,0,1.0
2286576,0,0,0,1,0,0,0,0.0
5582402,0,0,1,1,0,0,0,1.0
6132788,0,0,1,0,0,0,0,1.0
71594,0,0,1,0,0,0,1,1.0
1171106,0,1,0,1,1,0,0,0.0
4066,0,1,1,0,0,0,1,1.0
4929066,0,0,1,1,0,0,1,1.0
89143,0,0,1,0,0,0,1,1.0
1981164,0,0,0,1,0,0,0,1.0
8532,0,0,1,1,0,0,0,1.0
1534189,0,0,0,1,1,0,1,0.0
2379300,0,0,0,1,1,0,0,1.0
4626009,0,0,0,1,0,0,0,1.0
1244684,0,1,1,0,0,0,0,1.0
2002315,1,1,1,0,0,0,1,1.0
85475,1,0,1,0,0,0,1,0.0
5762043,1,0,1,0,0,0,1,1.0
5273,1,0,0,1,0,0,0,1.0
9940,1,1,0,1,0,0,0,1.0
1746743,1,0,0,1,0,0,0,1.0
3629968,1,1,0,1,1,0,0,0.0
3191849,1,0,1,1,0,0,1,1.0
7213818,1,0,1,1,0,0,0,1.0
3498163,1,1,0,0,1,1,0,0.0
1548393,1,0,0,1,0,0,0,1.0
1213264,1,0,1,0,0,0,1,1.0
1218054,1,0,1,0,0,0,1,1.0
1460,1,1,0,1,1,0,1,1.0
1383494,1,0,1,0,0,0,1,1.0
3784370,0,0,0,1,0,0,0,0.0
5545007,0,0,1,0,0,0,0,1.0
3941908,0,0,0,1,0,0,0,1.0
1215924,0,1,1,0,1,0,1,1.0
3951833,0,1,0,1,0,0,0,0.0
7106711,0,1,0,1,0,0,0,0.0
1225779,1,0,1,0,0,0,1,1.0
1169280,1,0,1,0,1,0,1,1.0
1441010,1,0,1,0,0,0,0,1.0
5792954,1,0,1,0,1,0,1,1.0
1766131,1,0,1,0,0,0,0,1.0
2366839,0,1,0,1,0,0,0,0.0
2193845,1,0,0,1,0,0,0,1.0
6941259,1,0,1,0,1,0,1,1.0
5069481,1,0,1,0,0,0,1,1.0
5983231,1,0,0,1,0,0,0,1.0
2530473,0,0,1,0,0,0,0,1.0
7011,0,1,1,0,1,0,0,1.0
1698222,0,1,1,0,0,0,0,1.0
5888166,0,1,0,1,0,0,0,0.0
1712945,1,0,1,0,0,0,0,1.0
15907,1,0,1,0,1,0,1,1.0
1863803,1,0,1,0,1,0,1,1.0
10674,1,0,1,0,1,0,1,1.0
3433592,1,0,1,0,1,0,1,1.0
4695039,0,1,0,1,0,0,0,0.0
2490326,0,1,0,1,0,0,0,0.0
1624139,0,1,0,1,0,0,0,0.0
1182189,0,1,1,0,0,0,0,0.0
5988932,0,1,0,1,0,0,0,0.0
4673927,1,0,1,0,0,0,0,1.0
11189,0,1,0,1,0,0,0,0.0
5815358,0,1,0,1,0,0,0,0.0
1152267,0,1,0,1,0,0,0,1.0
13583,0,1,0,1,1,0,1,0.0
12341,0,1,0,1,0,0,0,0.0
1155692,0,1,0,1,0,0,1,1.0
5143151,1,0,1,0,1,0,1,1.0
3200750,0,1,0,1,0,0,0,0.0
1842493,1,0,0,0,0,0,1,0.0
1292120,1,0,1,0,1,0,1,1.0
