id_dataset,top100_year,color,top100_rank,wine_type
2170223,2014,dessert,1,dessert
13393,2014,red,2,still
1677583,2014,white,5,still
2411943,2014,red,6,still
1766131,2014,red,8,still
6629676,2014,red,10,still
4873,2014,white,11,still
1155918,2014,dessert,12,dessert
6162,2014,red,16,still
1126909,2014,dessert,18,dessert
1176409,2014,red,19,still
1231421,2014,red,21,still
2224956,2014,red,24,still
9157,2014,red,26,still
734428,2014,red,30,still
10227,2014,red,32,still
1970865,2014,red,34,still
5545007,2014,red,35,still
1248224,2014,red,36,still
2751681,2014,red,37,still
2193845,2014,white,38,still
4626009,2014,white,41,still
5815,2014,red,46,still
1197691,2014,red,48,still
1131459,2014,white,49,still
1100936,2014,red,51,still
1386951,2014,red,53,still
1253160,2014,red,65,still
1664729,2014,red,66,still
1382518,2014,red,68,still
1138862,2014,red,69,still
1399020,2014,red,71,still
79821,2014,red,72,still
1243144,2014,red,76,still
4829707,2014,red,78,still
28294,2014,red,80,still
1679343,2014,white,83,still
1100458,2014,red,86,still
1117174,2014,white,88,still
1668249,2014,red,89,still
1253930,2014,red,92,still
1410333,2014,red,93,still
1173787,2014,red,94,still
1239214,2014,red,97,still
1292120,2002,red,3,still
4399090,2002,red,4,still
1233301,2002,red,7,still
1098914,2002,red,8,still
1194098,2002,red,12,still
4603903,2002,red,17,still
1195256,2002,red,18,still
1101055,2002,red,21,still
77472,2002,red,22,still
1319334,2002,red,24,still
1084372,2002,red,25,still
1441010,2002,red,26,still
1144511,2002,red,27,still
5453946,2002,red,31,still
2595857,2002,red,32,still
1386979,2002,sparkling,34,sparkling
2158160,2002,red,35,still
1207410,2002,red,36,still
77519,2002,red,38,still
75772,2002,red,39,still
1745033,2002,white,41,still
1232509,2002,white,46,still
1165683,2002,sparkling,47,sparkling
5273,2002,white,48,still
1123564,2002,red,53,still
1304,2002,white,55,still
5017238,2002,red,58,still
87596,2002,red,70,still
2193963,2002,white,71,still
1510622,2002,red,73,still
3209500,2002,white,74,still
1769768,2002,red,79,still
1548393,2002,white,81,still
9295,2002,white,83,still
1242662,2002,white,85,still
2156,2002,red,87,still
2615949,2002,red,89,still
1226616,2002,white,91,still
1218054,2015,red,6,still
72524,2015,red,8,still
3305516,2015,red,11,still
2538281,2015,red,12,still
4197360,2015,red,14,still
4018533,2015,red,19,still
2640926,2015,red,23,still
1728454,2015,red,26,still
5980,2015,red,28,still
5257147,2015,white,29,still
1449131,2015,red,30,still
3681735,2015,white,33,still
2418015,2015,red,38,still
1632924,2015,white,40,still
2193960,2015,red,42,still
1930166,2015,red,44,still
6625909,2015,red,45,still
3231995,2015,white,54,still
1849539,2015,red,59,still
80351,2015,red,61,still
1124474,2015,red,64,still
2274083,2015,red,65,still
1918004,2015,red,72,still
1202844,2015,red,74,still
1231210,2015,blush,75,still
65954,2015,red,81,still
1174028,2015,white,86,still
1624139,2015,red,89,still
1243300,2015,red,90,still
